title,price,sqm,rooms,postcode
+ neubau projekt + ab sofort + gemeinschaftsterrasse + aussenfläche + ohne provision,874.97,63,2,1210
+ 13.etage + lakeside + wien donaustadt + traumhafte mietwohnung + 2-zimmer + freiflaeche,1022.66,67,2,1220
"*jetzt 1 monat gratis miete sichern* ubahn, s-bahn nähe *d* 2-zimmer* erstbezug* 12m balkon/ terrasse* top küche* lichtdurchflutete * hochwertige* zentrale lage* tiefgarage*",956.9,66,2,1210
"*jetzt 1 monat gratis miete sichern* u-bahn, s-bahn nähe* 2-zimmer* erstbezug* balkon 7,21m * top küche * hochwertig* zentrale lage* tiefgarage*",798.49,47,2,1210
+ jetzt 1 monat gratis miete sichern + hochwertiger + erstbezug + 2-zimmer + zentrale lage + top küche + tiefgarage +,759.99,47,2,1210
charmante 3 zimmer wohnung in erstklassiger lage,1100.01,89,3,1050
2-zimmer-wohnung in top-lage mit allen notwendigen möbeln und geräten,899,63,2,1050
neusanierte unbefristet 3 zimmerwohnung,955.48,74,3,1050
wunderbare 2 zimmer-wohnung!! nähe u1 reumannplatz!! 1100 wien!!! 360 - 3d grad besichtigung!!!,790,59,2,1100
360 tour // neubaumiete mit balkon,780,47,2,1140
"geräumige 2,5 zimmer wohnung in ruhiger umgebung und zentraler lage",760,67,2,1050
erstbezug i pärchenhit im neubauprojekt a\\,845,51,2,1160
"* luxuswohnung * 5.og * grünblick* neuwertig * d* pool, wellness-sauna-fitness * kino * weinkeller* tiefgarage *",1624.94,66,2,1190
großgarconniere am dach,675,50,1,1190
"direkt am paussauer platz, 3 zimmer, ruhig, hell - a\\",1440,87,3,1010
weitblick - terrassentraum nahe liesinger platz - garage inkl.,1350.29,73,3,1230
orea | charmante 1-zimmer wohnung nahe schloss belvedere | smart besichtigen online anmieten,579,31,1,1040
erstklassig geschnittene 3-zimmer-wohnung mit loggia!,1350,96,3,1200
"""new york - new york""",1745.83,107,3,1050
sanierte altbauwohnung | 2er-wg geeignet,1075,92,3,1050
+jetzt 1 monat gratis miete sichern + erstbezug + hochwertigst+ d + top kücheerstbezug + 2-zimmer* zentrale lage+ tief-garage+,760,47,2,1210
+jetzt 1 monat gratis miete sichern+ erstbezug + 12m balkon/ terrasse+ d + top küche + lichtdurchflutete hochwertige+ 2-zimmer+ zentrale lage+ tiefgarage+,956.91,66,2,1210
provisionsfrei: 2 zimmer wohnung mit loggia - zu mieten in 1230 wien,931.41,62,2,1230
perfekt sanierte helle terrassenwohnung im 6. liftstock,890.06,60,2,1100
"super 3 er wg oder familienwohnung mit schöner, neuwertige küchenzeile!",1140.85,92,3,1080
über den dächern wiens - charmante maisonettewohnung!,1489.3,92,2,1040
4167 - charmante garconniere inkl. heizung,550,25,1,1130
video: schöne und helle 2-zimmer-wohnung mit pauschalmiete!,729,54,2,1170
2 zi nb-wohnung mit toller aufteilung - gleich bei u4 !!,699,40,2,1200
neu! ++ top renovierte klassische altbauwohnung in perfekter zentrumslage nahe karlskirche miete in 1040 wien++,1950.01,109,3,1040
"video: helle, 3er-wg-geeignete wohnung mit gemeinschaftsgarten!",990,85,3,1220
hirschstettner badeteich: neubau erstbezug: 2 zimmer mit balkon: vermietung auf 10 jahren!,749,47,2,1220
"provisionsfreie sonnige 2-zimmer wohnung, schweidlgasse 30, 1020 wien - top 1.48",924.7,49,2,1020
"** wohnen im grünen, barany & me, provisionsfrei, freifinanzierte mietwohnung, erstbezug **",1383.72,86,3,1220
"barany & me, frei finanzierte miete, baranygasse 7, 1220 wien",1699,103,4,1220
"barany & me, frei finanzierte miete, baranygasse 7, 1220 wien",1399,86,3,1220
"kennedy garden lavandula, gemütliche 2 zimmer mit küche und loggia",922,53,2,1140
2-zimmer - wohnung mit balkon degengasse 15/9,725.6700000000001,55,2,1160
ab mai | 2-zimmer-neubauwohnung | nahe u4 friedensbrücke (we20210),699,40,2,1200
"helle 2-zimmer mietwohnung mit loggia in reinlgasse, straßenseitig!",702.52,41,2,1140
luxuriose 2-zimmer terrassentraum zur miete im 23. bz inkl. fitnessraum und garagenplatz im haus!,950,54,2,1230
altbaujuwel in jugendstilvilla,2746.74,156,4,1130
