listing_no,title,price,sqm,rooms,address
1,"
                + NEUBAU PROJEKT + AB SOFORT + GEMEINSCHAFTSTERRASSE + AUSSENFLÄCHE + OHNE PROVISION
            ","
                    Miete€ 874,97
                ","
                    Wohnfläche63 m²
                ","
                        Zimmer 2
                    ",1210 Wien
1,"
                + 13.ETAGE + LAKESIDE + WIEN DONAUSTADT + TRAUMHAFTE MIETWOHNUNG + 2-ZIMMER + FREIFLAECHE
            ","
                    Miete€ 1.022,66
                ","
                    Wohnfläche67 m²
                ","
                        Zimmer 2
                    ",1220 Wien
1,"
                *JETZT 1 MONAT GRATIS MIETE SICHERN* UBahn, S-Bahn Nähe *D* 2-ZIMMER* ERSTBEZUG* 12m BALKON/ TERRASSE* TOP KÜCHE* LICHTDURCHFLUTETE * HOCHWERTIGE* ZENTRALE LAGE* TIEFGARAGE*
            ","
                    Miete€ 956,90
                ","
                    Wohnfläche66 m²
                ","
                        Zimmer 2
                    ",1210 Wien
1,"
                *JETZT 1 MONAT GRATIS MIETE SICHERN* U-Bahn, S-Bahn Nähe* 2-ZIMMER* ERSTBEZUG* BALKON 7,21m * TOP KÜCHE * HOCHWERTIG* ZENTRALE LAGE* TIEFGARAGE*
            ","
                    Miete€ 798,49
                ","
                    Wohnfläche47 m²
                ","
                        Zimmer 2
                    ",1210 Wien
1,"
                + JETZT 1 MONAT GRATIS MIETE SICHERN + HOCHWERTIGER + ERSTBEZUG + 2-ZIMMER + ZENTRALE LAGE + TOP KÜCHE + TIEFGARAGE +
            ","
                    Miete€ 759,99
                ","
                    Wohnfläche47 m²
                ","
                        Zimmer 2
                    ",1210 Wien
1,"
                Charmante 3 Zimmer Wohnung in erstklassiger Lage
            ","
                    Miete€ 1.100,01
                ","
                    Wohnfläche89 m²
                ","
                        Zimmer 3
                    ","1050 Wien,Margareten"
1,"
                2-Zimmer-Wohnung in Top-Lage mit allen notwendigen Möbeln und Geräten
            ","
                    Miete€ 899,00
                ","
                    Wohnfläche63 m²
                ","
                        Zimmer 2
                    ",1050 Wien
1,"
                NEUSANIERTE UNBEFRISTET 3 ZIMMERWOHNUNG
            ","
                    Miete€ 955,48
                ","
                    Wohnfläche74 m²
                ","
                        Zimmer 3
                    ",1050 Wien
1,"
                Wunderbare 2 Zimmer-Wohnung!! NÄHE U1 REUMANNPLATZ!! 1100 Wien!!! 360 - 3D Grad Besichtigung!!!
            ","
                    Miete€ 790,00
                ","
                    Wohnfläche59 m²
                ","
                        Zimmer 2
                    ",1100 Wien
1,"
                360 TOUR // NEUBAUMIETE mit BALKON
            ","
                    Miete€ 780,00
                ","
                    Wohnfläche47 m²
                ","
                        Zimmer 2
                    ",1140 Wien
1,"
                Geräumige 2,5 Zimmer Wohnung in ruhiger Umgebung und zentraler Lage
            ","
                    Miete€ 760,00
                ","
                    Wohnfläche67 m²
                ","
                        Zimmer 2
                    ","1050 Wien,Margareten"
1,"
                Erstbezug I Pärchenhit im Neubauprojekt A\\
            ","
                    Miete€ 845,00
                ","
                    Wohnfläche51 m²
                ","
                        Zimmer 2
                    ","1160 Wien,Ottakring"
1,"
                * LUXUSWOHNUNG * 5.OG * GRÜNBLICK* NEUWERTIG * D* Pool, Wellness-Sauna-Fitness * Kino * Weinkeller* Tiefgarage *
            ","
                    Miete€ 1.624,94
                ","
                    Wohnfläche66 m²
                ","
                        Zimmer 2
                    ",1190 Wien
1,"
                Großgarconniere am Dach
            ","
                    Miete€ 675,00
                ","
                    Wohnfläche50 m²
                ","
                        Zimmer 1
                    ",1190 Wien
1,"
                Direkt am Paussauer Platz, 3 Zimmer, ruhig, hell - A\\
            ","
                    Miete€ 1.440,00
                ","
                    Wohnfläche87 m²
                ","
                        Zimmer 3
                    ",1010 Wien
2,"
                Weitblick - Terrassentraum nahe Liesinger Platz - Garage inkl.
            ","
                    Miete€ 1.350,29
                ","
                    Wohnfläche73 m²
                ","
                        Zimmer 3
                    ",1230 Wien
2,"
                orea | Charmante 1-Zimmer Wohnung nahe Schloss Belvedere | Smart besichtigen Online anmieten
            ","
                    Miete€ 579,00
                ","
                    Wohnfläche31 m²
                ","
                        Zimmer 1
                    ",1040 Wien
2,"
                Erstklassig geschnittene 3-Zimmer-Wohnung mit Loggia!
            ","
                    Miete€ 1.350,00
                ","
                    Wohnfläche96 m²
                ","
                        Zimmer 3
                    ","1200 Wien,Brigittenau"
2,"
                ""NEW YORK - NEW YORK""
            ","
                    Miete€ 1.745,83
                ","
                    Wohnfläche107 m²
                ","
                        Zimmer 3
                    ","1050 Wien,Margareten"
2,"
                Sanierte Altbauwohnung | 2er-WG geeignet
            ","
                    Miete€ 1.075,00
                ","
                    Wohnfläche92 m²
                ","
                        Zimmer 3
                    ",1050 Wien
2,"
                +JETZT 1 MONAT GRATIS MIETE SICHERN + ERSTBEZUG + HOCHWERTIGST+ D + TOP KÜCHEERSTBEZUG + 2-ZIMMER* ZENTRALE LAGE+ TIEF-GARAGE+
            ","
                    Miete€ 760,00
                ","
                    Wohnfläche47 m²
                ","
                        Zimmer 2
                    ",1210 Wien
2,"
                +JETZT 1 MONAT GRATIS MIETE SICHERN+ ERSTBEZUG + 12m BALKON/ TERRASSE+ D + TOP KÜCHE + LICHTDURCHFLUTETE HOCHWERTIGE+ 2-ZIMMER+ ZENTRALE LAGE+ TIEFGARAGE+
            ","
                    Miete€ 956,91
                ","
                    Wohnfläche66 m²
                ","
                        Zimmer 2
                    ",1210 Wien
2,"
                Provisionsfrei: 2 Zimmer Wohnung mit Loggia - zu mieten in 1230 Wien
            ","
                    Miete€ 931,41
                ","
                    Wohnfläche62 m²
                ","
                        Zimmer 2
                    ",1230 Wien
2,"
                PERFEKT SANIERTE HELLE TERRASSENWOHNUNG IM 6. LIFTSTOCK
            ","
                    Miete€ 890,06
                ","
                    Wohnfläche60 m²
                ","
                        Zimmer 2
                    ",1100 Wien
2,"
                Super 3 er WG oder Familienwohnung mit schöner, neuwertige Küchenzeile!
            ","
                    Miete€ 1.140,85
                ","
                    Wohnfläche92 m²
                ","
                        Zimmer 3
                    ","1080 Wien,Josefstadt"
2,"
                Über den Dächern Wiens - Charmante Maisonettewohnung!
            ","
                    Miete€ 1.489,30
                ","
                    Wohnfläche92 m²
                ","
                        Zimmer 2
                    ",1040 Wien
2,"
                4167 - Charmante Garconniere INKL. Heizung
            ","
                    Miete€ 550,00
                ","
                    Wohnfläche25 m²
                ","
                        Zimmer 1
                    ",1130 Wien
