title,price,sqm,rooms,postcode,landlord
"Provisionsfreie 2-Zimmer Wohnung in Ober St. Veit, Erstbezug nach Renovierung",780,47,2,1130,Privat
Dringend Nachmieter gesucht!! Wunderschöne helle Terassen-Wohnung mit perfekter Anbindung in Ruhelage,795,43,2,1120,Privat
*URBANES WOHNEN*PROVISIONSFREI* ERSTBEZUG*RIVUS VIVERE*GROSSE AUSSENFLÄCHE*3-ZIMMER WOHNUNG*FEB23,1114.47,70,3,1230,BUWOG Group GmbH
"+++ THE ONE! PROVISIONSFREI! TOLL GESCHNITTENE 2-ZIMMER-BALKON WOHNUNG MIT EINBAUKÜCHE IM 20. OG MIT FERNBLICK PRATER! THE MARKS TOWER ENSEMBLE! U3, SHOPPING CENTER UND PRATER UMS ECK! +++",895,48,2,1030,Privat
"Provisionsfrei - Renovierte 3-Zimmer mit Loggia, 78m2",1073,78,3,1140,Privat
HOFSEITIG! HELL! 2-Zimmer Wohnung mit Balkon! Nähe U3-Station Kendlerstraße! ab JETZT!,799.4,46,2,1140,RAAB & Partner Immobilien Gesellschaft m.b.H.
Entzückende neu sanierte 2-Zimmer Wohnung in Zentrumsnähe,596,40,2,1170,Privat
"Hietzing: Helle, zentrumsnahe 2-Zimmerwohnung in Ruhelage Nähe Schönbrunn",950,66,2,1130,Schönfeld Immobilien KEG
3 Zimmer Terrassenwohnung in Ottakring,963.68,64,3,1160,IMMOcontract Immobilien Vermittlung GmbH
TOP-CITY-LAGE | EXKLUSIVE 3 ZIMMER IM HERZEN WIENS | NÄHE STEPHANSPLATZ | VOLLMÖBLIERT,1499,58,3,1010,Immosan Immobilienvermittlung- u. Verwertungs GmbH
Nächst Staatsoper! Möblierte ruhige Garconniere,870,30,1,1010,Omerovic Immobilien GmbH
NEU! ++TOP RENOVIERTE ALTBAUWOHNUNG in wunderschönem historischen Zinshaus Nähe Landstrasser Hauptstrasse - Miete in 1030 Wien++,3992.69,223,6,1030,TRISTAR Immobilien
"Möbilierte Wohnung, Erstbezug",650,40,2,1020,Privat
"TOPLAGE NÄHE PALAIS COBURG | EXKLUSIVE, VOLLAUSGESTATTETE LUXUSWOHNUNG | EINZUGSBEREIT",17890,421,8,1010,Immosan Immobilienvermittlung- u. Verwertungs GmbH
Traumhafte Altbauwohnung-Erstbezug nach Generalsanierung,1900,126,2,1030,s REAL - Wien
PROVISIONSFREI! - Perfekt aufgeteilte Balkonwohnung - Brigittenau,875,46,2,1200,ESTINA Immobilien GmbH
2 Zimmer mit Freifläche auf beiden Seiten!,861.2,50,2,1230,PR-Immobilien
Schöne Wohnung 3 Zimmer,600,89,3,1030,IMMO AGENCY GmbH
| 2 ZIMMER | ZWEITVERMIETUNG | AB APRIL | BALKON | SÜDSEITIG | INNENHOF | TIEFGARAGE,823.03,45,2,1210,DECUS Immobilien GmbH
